date,rainfall,temp
2020/1/1,0.0,6.9
2020/1/2,0.0,8.2
2020/1/3,0.0,10.3
2020/1/4,0.0,9.6
2020/1/5,0.0,7.0
2020/1/6,0.0,7.2
2020/1/7,2.0,6.7
2020/1/8,17.0,11.9
2020/1/9,0.0,10.9
2020/1/10,0.0,9.1
2020/1/11,0.0,7.9
2020/1/12,0.0,8.4
2020/1/13,0.0,9.1
2020/1/14,1.0,7.4
2020/1/15,1.0,7.1
2020/1/16,0.0,6.5
2020/1/17,0.0,6.9
2020/1/18,0.5,8.0
2020/1/19,0.0,8.0
2020/1/20,0.0,9.8
2020/1/21,0.0,8.0
2020/1/22,1.5,7.0
2020/1/23,27.0,9.4
2020/1/24,0.0,11.1
2020/1/25,0.0,8.0
2020/1/26,1.5,8.8
2020/1/27,5.0,8.6
2020/1/28,0.0,13.0
2020/1/29,4.5,11.5
2020/1/30,0.0,9.0
2020/1/31,0.0,6.6
2020/2/1,0.0,6.9
2020/2/2,0.0,7.7
2020/2/3,0.0,8.3
2020/2/4,0.0,7.8
2020/2/5,0.0,6.9
2020/2/6,0.0,3.3
2020/2/7,0.0,3.4
2020/2/8,0.0,6.6
2020/2/9,0.0,4.1
2020/2/10,0.0,4.8
2020/2/11,0.0,7.3
2020/2/12,2.0,8.9
2020/2/13,5.0,13.5
2020/2/14,2.5,11.7
2020/2/15,0.0,10.3
2020/2/16,17.0,11.7
2020/2/17,0.0,8.0
2020/2/18,0.0,5.5
2020/2/19,0.0,7.6
2020/2/20,0.0,8.4
2020/2/21,0.0,9.5
2020/2/22,16.0,9.3
2020/2/23,0.0,9.1
2020/2/24,0.0,8.7
2020/2/25,3.5,9.7
2020/2/26,8.0,10.2
2020/2/27,0.0,6.5
2020/2/28,0.0,7.4
2020/2/29,10.0,7.6
2020/3/1,0.0,10.3
2020/3/2,0.0,11.7
2020/3/3,0.0,10.4
2020/3/4,14.5,8.8
2020/3/5,0.5,7.4
2020/3/6,0.0,8.2
2020/3/7,0.0,9.4
2020/3/8,8.5,10.4
2020/3/9,0.0,13.0
2020/3/10,18.0,14.5
2020/3/11,0.0,12.5
2020/3/12,0.0,10.7
2020/3/13,0.0,11.7
2020/3/14,13.0,8.9
2020/3/15,1.0,8.6
2020/3/16,2.0,6.4
2020/3/17,0.0,8.8
2020/3/18,0.0,13.6
2020/3/19,0.0,15.6
2020/3/20,0.0,12.8
2020/3/21,0.0,13.6
2020/3/22,0.0,14.9
2020/3/23,0.0,12.3
2020/3/24,0.0,10.1
2020/3/25,0.0,11.0
2020/3/26,0.0,14.3
2020/3/27,17.5,15.8
2020/3/28,14.0,12.5
2020/3/29,12.0,9.1
2020/3/30,0.0,10.3
2020/3/31,0.0,14.7
2020/4/1,31.5,14.1
2020/4/2,0.0,11.8
2020/4/3,0.0,12.2
2020/4/4,0.0,14.7
2020/4/5,0.0,10.5
2020/4/6,0.0,11.2
2020/4/7,0.0,12.8
2020/4/8,0.0,14.8
2020/4/9,0.0,13.2
2020/4/10,0.0,11.4
2020/4/11,0.0,11.2
2020/4/12,21.5,9.2
2020/4/13,14.0,10.3
2020/4/14,0.0,12.7
2020/4/15,0.0,14.0
2020/4/16,0.0,14.9
2020/4/17,0.0,15.7
2020/4/18,25.5,15.5
2020/4/19,0.5,15.3
2020/4/20,23.5,15.7
2020/4/21,0.0,16.1
2020/4/22,0.0,12.8
2020/4/23,0.0,11.7
2020/4/24,0.0,12.0
2020/4/25,0.0,14.4
2020/4/26,0.0,17.7
2020/4/27,0.0,16.0
2020/4/28,0.0,15.4
2020/4/29,0.0,16.3
2020/4/30,0.0,18.4
2020/5/1,0.0,20.2
2020/5/2,0.0,21.3
2020/5/3,0.0,19.5
2020/5/4,1.0,20.8
2020/5/5,0.0,23.0
2020/5/6,0.0,19.9
2020/5/7,0.0,17.5
2020/5/8,0.0,18.2
2020/5/9,1.5,18.7
2020/5/10,4.0,20.7
2020/5/11,0.0,22.3
2020/5/12,0.0,21.8
2020/5/13,0.0,20.7
2020/5/14,0.0,20.7
2020/5/15,0.5,20.2
2020/5/16,20.5,16.8
2020/5/17,0.0,20.9
2020/5/18,36.5,21.2
2020/5/19,17.5,20.7
2020/5/20,0.0,20.1
2020/5/21,0.0,18.6
2020/5/22,0.0,19.9
2020/5/23,0.0,22.8
2020/5/24,0.0,22.9
2020/5/25,0.0,23.4
2020/5/26,6.0,21.7
2020/5/27,5.0,21.2
2020/5/28,0.0,21.8
2020/5/29,0.0,22.9
2020/5/30,0.0,23.0
2020/5/31,4.5,20.4
2020/6/1,0.0,22.8
2020/6/2,0.0,24.6
2020/6/3,0.0,24.3
2020/6/4,0.0,24.8
2020/6/5,0.0,25.8
2020/6/6,0.0,25.1
2020/6/7,0.0,24.4
2020/6/8,0.0,24.3
2020/6/9,0.0,24.8
2020/6/10,1.5,25.6
2020/6/11,14.5,25.1
2020/6/12,5.5,25.1
2020/6/13,24.0,24.9
2020/6/14,10.5,25.8
2020/6/15,0.0,26.7
2020/6/16,0.0,25.6
2020/6/17,0.0,24.8
2020/6/18,45.5,20.9
2020/6/19,47.0,19.9
2020/6/20,0.0,22.7
2020/6/21,0.0,23.7
2020/6/22,0.0,25.2
